tweet,descriptions,clean_tweet,sentiment
@tokopedia Ihh minto 😭😭😭😭 becanda zeyeng ✌,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia ihh minto becanda zeyeng,netral
"@ohmybeautybank Berdasarkan #DataCompas , Raine Beauty jadi top 13 brand Blush On based on market share di Shopee &amp; Tokopedia (official store only) sepanjang 16-31 Desember 2022 dan berhasil ngalahin Nacific &amp; BLP! Congrats Kak Yaya @raisa6690 🥳","['Named people in the world like Nelson Mandela', 'Categories within Brand Verticals that narrow down the scope of Brands', 'Categories within Brand Verticals that narrow down the scope of Brands', 'Brands and Companies', 'Brands and Companies', 'A musician in the world, like Adele or Bob Dylan', 'Top level interests and hobbies groupings, like Food or Travel', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing', 'A product taxonomy for labeling categories of products. ', 'Top level interests and hobbies groupings, like Food or Travel', 'A grouping of interests and hobbies entities, like Novelty Food or Destinations', 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks', 'A taxonomy of user interests. ']",ohmybeautybank dasar datacompas raine beauty top brand blush on based on market share shopee amp tokopedia official store only desember hasil ngalahin nacific amp blp congrats kak yaya raisa,netral
@gopayindonesia @tokopedia 15 juta,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",gopayindonesia tokopedia juta,netral
"@gopayindonesia @tokopedia Hingga 15 juta
#SemuaJadiRingan #GoPayLaterCicil","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",gopayindonesia tokopedia jutasemuajadiringan gopaylatercicil,netral
@rejjun di tokopedia! dari mall gituu!,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",rejjun tokopedia mall gituu,netral
"@gopayindonesia @tokopedia LIMIT GOPAYLATER CICIL S/D (15) JUTA 🥳🥳 
#SemuaJadiRingan 
#GoPayLaterCicil","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",gopayindonesia tokopedia limit gopaylater cicil sd juta semuajadiringan gopaylatercicil,netral
"@plagiariqme Hai🧚🏻‍♀️ @sonianayxn open gestun all paylater fee start reg 8% instan 10% 

akulaku bisa dp talang
shopee gratis ongkir get cashback koin 5% - 7%
tokopedia get disc up to 500k

trusted🦩 fast respond 24jam‼️ 
testi 5.000+ cek di pinned📌

💌 wa : 085173020461","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",plagiariqme hai sonianayxn open gestun all paylater fee start reg instan akulaku dp talangshopee gratis ongkir get cashback koin tokopedia get disc up to ktrusted fast respond jam testi cek pinned wa,positif
"@whosmercy1 Hai🧚🏻‍♀️ @sonianayxn open gestun all paylater fee start reg 8% instan 10% 

akulaku bisa dp talang
shopee gratis ongkir get cashback koin 5% - 7%
tokopedia get disc up to 500k

trusted🦩 fast respond 24jam‼️ 
testi 5.000+ cek di pinned📌

💌 wa : 085173020461","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",whosmercy hai sonianayxn open gestun all paylater fee start reg instan akulaku dp talangshopee gratis ongkir get cashback koin tokopedia get disc up to ktrusted fast respond jam testi cek pinned wa,positif
"@on_urdream Hai🧚🏻‍♀️ @sonianayxn open gestun all paylater fee start reg 8% instan 10% 

akulaku bisa dp talang
shopee gratis ongkir get cashback koin 5% - 7%
tokopedia get disc up to 500k

trusted🦩 fast respond 24jam‼️ 
testi 5.000+ cek di pinned📌

💌 wa : 085173020461","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",onurdream hai sonianayxn open gestun all paylater fee start reg instan akulaku dp talangshopee gratis ongkir get cashback koin tokopedia get disc up to ktrusted fast respond jam testi cek pinned wa,positif
"@gopayindonesia @tokopedia limit sampai 15 juta
#SemuaJadiRingan #GoPayLaterCicil","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",gopayindonesia tokopedia limit jutasemuajadiringan gopaylatercicil,netral
@ohmybeautybank Berdasarkan #DataCompas brand Treatment Rambut terlaris di Shopee &amp; Tokopedia (official store) pada akhir Desember 2022 adalah @MKZ_HairEnergy 😍 Makarizo bahkan sukses ngalahin L’Oréal &amp; Unilever!,"['Top level entities that describe a Brands industry', 'Entity Service top level domain, every item that is in Entity Service should be in this domain', 'Categories within Brand Verticals that narrow down the scope of Brands', 'Brands and Companies', 'Brands and Companies', 'Top level interests and hobbies groupings, like Food or Travel', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing', 'Top level entities that describe a Brands industry', 'Entity Service top level domain, every item that is in Entity Service should be in this domain', 'Entity Service top level domain, every item that is in Entity Service should be in this domain', 'Brands and Companies']",ohmybeautybank dasar datacompas brand treatment rambut laris shopee amp tokopedia official store desember mkzhairenergy makarizo sukses ngalahin l or al amp unilever,positif
"@ohmybeautybank Kalau berdasarkan #DataCompas , top brand skincare wajah Korea terlaris di Shopee &amp; Tokopedia (official store) di 16-31 Desember 2022 adalah Some by Mi!👀","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",ohmybeautybank dasar datacompas top brand skincare wajah korea laris shopee amp tokopedia official store desember some by mi,netral
@yasidfaqihudin Tokopedia ada ga,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",yasidfaqihudin tokopedia ga,netral
"@gopayindonesia @tokopedia jawaban adalah 15 juta krna satu hape 9÷3= 3 juta,laptop adalah 13-3=10 lalu dibagi 2 maka 1 laptop 5,maka 1 hp × 1 laptop sama dengam 15 juta #SemuaJadiRingan #GoPayLaterCicil","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",gopayindonesia tokopedia juta krna hape jutalaptop bagi laptop hp laptop dengam juta semuajadiringan gopaylatercicil,netral
"@gopayindonesia @tokopedia 15 dong 

Pakai GoPay, bayar kebutuhan apa aja lebih aman, mudah, dan hemat di mana-mana.

#SemuaJadiRingan #GoPayLaterCicil","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",gopayindonesia tokopedia pakai gopay bayar butuh aja aman mudah hemat manamanasemuajadiringan gopaylatercicil,positif
@gopayindonesia @tokopedia Sampai dengan 15 juta....,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",gopayindonesia tokopedia juta,netral
"@gopayindonesia @tokopedia 15 Juta
#SemuaJadiRingan #GoPayLaterCicil","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",gopayindonesia tokopedia jutasemuajadiringan gopaylatercicil,netral
"@indomilkmilo Hai🧚🏻‍♀️ @sonianayxn open gestun all paylater fee start reg 8% instan 10% 

akulaku bisa dp talang
shopee gratis ongkir get cashback koin 5% - 7%
tokopedia get disc up to 500k

trusted🦩 fast respond 24jam‼️ 
testi 5.000+ cek di pinned📌

💌 wa : 085173020461","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",indomilkmilo hai sonianayxn open gestun all paylater fee start reg instan akulaku dp talangshopee gratis ongkir get cashback koin tokopedia get disc up to ktrusted fast respond jam testi cek pinned wa,positif
